State,bcr,Stratum,Year,Partner,Area,LongStratum,Planned,Completed
WY,10,WY-BCR10-CO,2022,BCR,4704,WY-BCR10-CO: Bureau of Land Management - Cody Field Office,4,4
WY,10,WY-BCR10-CT,2022,BCR,1397,WY-BCR10-CT: Caribou-Targhee National Forest,2,2
WY,10,WY-BCR10-GR,2022,BCR,856,WY-BCR10-GR: Grand Teton National Park,2,2
WY,10,WY-BCR10-KE,2022,BCR,5733,WY-BCR10-KE: Bureau of Land Management - Kemmerer Field Office,5,5
WY,10,WY-BCR10-LA,2022,BCR,9829,WY-BCR10-LA: Bureau of Land Management - Lander Field Office,7,7
WY,10,WY-BCR10-MB,2022,WYNDD,773,WY-BCR10-MB: Medicine Bow National Forest,2,2
WY,10,WY-BCR10-PI,2022,BCR,3687,WY-BCR10-PI: Bureau of Land Management - Pinedale Field Office,8,8
WY,10,WY-BCR10-RA,2022,BCR,13954,WY-BCR10-RA: Bureau of Land Management - Rawlins Field Office,10,10
WY,10,WY-BCR10-RO,2022,BCR,15152,WY-BCR10-RO: Bureau of Land Management - Rock Springs Field Office,9,9
WY,10,WY-BCR10-SE,2022,BCR,2101,WY-BCR10-SE: Shoshone National Forest - Roaded/Managed,5,5
WY,10,WY-BCR10-SR,2022,BCR,8311,WY-BCR10-SR: Shoshone National Forest - Roadless/Wilderness,4,4
WY,10,WY-BCR10-WA,2022,BCR,33,WY-BCR10-WA: Wasatch National Forest,3,3
WY,10,WY-BCR10-WO,2022,BCR,8467,WY-BCR10-WO: Bureau of Land Management - Worland Field Office,7,7
WY,10,WY-BCR10-WR,2022,BCR,7819,WY-BCR10-WR: Wind River Reservation,4,4
WY,10,WY-BCR10-YE,2022,BCR,7592,WY-BCR10-YE: Yellowstone National Park,4,4
WY,16,WY-BCR16-AO,2022,BCR,5438,WY-BCR16-AO: All Other Lands,5,5
WY,16,WY-BCR16-BL,2022,BCR,647,WY-BCR16-BL: Bureau of Land Management,2,2
WY,16,WY-BCR16-MB,2022,WYNDD,5329,WY-BCR16-MB: Medicine Bow National Forest,4,4
WY,16,WY-BCR16-WA,2022,BCR,180,WY-BCR16-WA: Wasatch National Forest,3,3
WY,17,WY-BCR17-AO,2022,BCR,52186,WY-BCR17-AO: All Other Lands,12,12
WY,17,WY-BCR17-BH,2022,BCR,1085,WY-BCR17-BH: Black Hills National Forest,3,3
WY,17,WY-BCR17-BU,2022,BCR,2653,WY-BCR17-BU: Bureau of Land Management - Buffalo Field Office,3,3
WY,17,WY-BCR17-CA,2022,BCR,2695,WY-BCR17-CA: Bureau of Land Management - Casper Field Office,3,3
WY,17,WY-BCR17-NE,2022,BCR,1025,WY-BCR17-NE: Bureau of Land Management - Newcastle Field Office,2,2
WY,17,WY-BCR17-TB,2022,WYNDD,4520,WY-BCR17-TB: Thunder Basin National Grassland,6,6
WY,18,WY-BCR18-AO,2022,BCR,12064,WY-BCR18-AO: All Other Lands,12,12
WY,18,WY-BCR18-BL,2022,BCR,171,WY-BCR18-BL: Bureau of Land Management,2,2
WY,18,WY-BCR18-DO,2022,BCR,23,WY-BCR18-DO: Department of Defense,2,2
